Reference,Description,Price A,Category,Codigo de Barra,Rubro,Sub Rubro,Cant x Bulto,Stock,Comprado,Pendiente,Disponible,Temporada,Marca,Características,Observaciones,Price F,Tipo
1012264,Mens S/S Half Collar Linen Shirt - 4 Col,10.5,,_601202209552,HOMBRES,CAMISAS,48,48,0,0,48,MODA,ZOLO JEANS,CAMISA 4 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1012407,Mens S/S Chino Linen Shirt - Yellow 07,10,,_601202212835,HOMBRES,CAMISAS,48,150,0,0,150,MODA,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1012415,Mens S/S Chino Linen Shirt - Pink 15,10,,_601202214068,HOMBRES,CAMISAS,48,83,0,0,83,MODA,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1012416,Mens S/S Chino Linen Shirt - Charcoal 16,10,,_601202214471,HOMBRES,CAMISAS,48,29,0,0,29,MODA,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1012424,Mens S/S Chino Linen Shirt - Blue 24,10,,_601202216116,HOMBRES,CAMISAS,48,24,0,0,24,MODA,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1012643,Mens S/S Linen Stretch Shirt - Navy 43,10.5,,_601202195664,HOMBRES,CAMISAS,36,53,0,24,29,BASICO,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1012646,Mens S/S Linen Stretch Shirt - Orange 46,10.5,,_601202197309,HOMBRES,CAMISAS,36,59,0,24,35,BASICO,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1012668,Mens S/S Linen Stretch Shirt - Cream 68,10.5,,_601202194841,HOMBRES,CAMISAS,36,41,0,0,41,BASICO,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1012675,Mens S/S Linen Stretch Shirt - Olive 75,10.5,,_601202196890,HOMBRES,CAMISAS,36,125,0,24,101,BASICO,ZOLO JEANS,Solid Color Pack S1/M2/L2/XL1,,0,REGULAR
1013719,Mens S/S Poplin Shirt - 3 Colors,10,,_601202207145,HOMBRES,CAMISAS,36,320,0,0,320,MODA,ZOLO JEANS,Assorted Color Pack S1/M2/L2/XL1,,0,REGULAR
1013728,Mens S/S Poplin Shirt - 3 Colors,10,,_601202210831,HOMBRES,CAMISAS,36,195,0,72,123,MODA,ZOLO JEANS,Assorted Color Pack S1/M2/L2/XL1,,0,REGULAR
1013729,Mens S/S Poplin Shirt - 3 Colors,10,,_601202211241,HOMBRES,CAMISAS,36,372,0,0,372,MODA,ZOLO JEANS,Assorted Color Pack S1/M2/L2/XL1,,0,REGULAR
1013750,Mens Poplin S/S Shirt - 3 Colors,9.5,,_601202202263,HOMBRES,CAMISAS,48,0,432,468,-36,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013751,Mens Linen Cotton Shirt S/S - 3 Colors,9.5,,_601202202676,HOMBRES,CAMISAS,48,0,432,204,228,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013752,Mens S/S Shirt - 3 Color YC019,9.5,,_601202203086,HOMBRES,CAMISAS,48,0,432,36,396,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013753,Mens Mini Waffle Shirt - 3 Col 2601,9.5,,_601202203499,HOMBRES,CAMISAS,48,0,432,36,396,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013754,Mens Mini Waffle Shirt - 3 Col 2601,9.5,,_601202203901,HOMBRES,CAMISAS,48,0,432,288,144,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013755,Mens Mini Waffle Shirt - 3 Col 2601,9.5,,_601202204311,HOMBRES,CAMISAS,48,0,432,72,360,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013756,Mens Oxford S/S Shirt - 3 Colors 6988,9.5,,_601202204724,HOMBRES,CAMISAS,48,0,432,180,252,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013757,Mens Oxford S/S Shirt - 3 Colors 6988,9.5,,_601202205134,HOMBRES,CAMISAS,48,0,432,192,240,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013758,Mens Linen Cotton Shirt S/S - 3 Colors,9.5,,_601202205547,HOMBRES,CAMISAS,48,0,432,144,288,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013759,Mens S/S Shirt - 3 Color YC019,9.5,,_601202205950,HOMBRES,CAMISAS,48,0,432,36,396,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013760,Mens Linen Cotton Shirt S/S - 3 Colors,9.5,,_601202206360,HOMBRES,CAMISAS,48,0,432,252,180,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013761,Mens Mini Waffle Shirt - 3 Col 2601,9.5,,_601202206773,HOMBRES,CAMISAS,48,0,432,0,432,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013762,Mens Mini Waffle Shirt - 3 Col 2601,9.5,,_601202207183,HOMBRES,CAMISAS,48,0,432,216,216,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013763,Mens Oxford S/S Shirt - 3 Colors 6988,9.5,,_601202207596,HOMBRES,CAMISAS,48,0,432,0,432,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013764,Mens S/S Shirt - 3 Color YC019,9.5,,_601202208005,HOMBRES,CAMISAS,48,0,432,216,216,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013765,Mens Poplin S/S Shirt - 3 Colors,9.5,,_601202208418,HOMBRES,CAMISAS,48,0,432,180,252,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013766,Mens Poplin S/S Shirt - 3 Colors,9.5,,_601202208821,HOMBRES,CAMISAS,48,0,432,360,72,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013767,Mens S/S Shirt - 3 Color YC019,9.5,,_601202209231,HOMBRES,CAMISAS,48,0,432,0,432,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013768,Mens Micro Twill S/S Shirt - 3 Colors,9.5,,_601202209644,HOMBRES,CAMISAS,48,0,432,300,132,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013769,Mens LINEN Look S/S Shirt - 3 Colors,9.5,,_601202210053,HOMBRES,CAMISAS,48,0,432,432,0,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013770,Mens LINEN Look S/S Shirt - 3 Colors,9.5,,_601202210466,HOMBRES,CAMISAS,48,0,432,528,-96,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013771,Mens LINEN Look S/S Shirt - 3 Colors,9.5,,_601202210879,HOMBRES,CAMISAS,48,0,432,456,-24,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013772,Mens LINEN Look S/S Shirt - 3 Colors,9.5,,_601202211289,HOMBRES,CAMISAS,48,0,432,312,120,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013773,Mens LINEN Look S/S Shirt - 3 Colors,9.5,,_601202211692,HOMBRES,CAMISAS,48,0,432,252,180,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013774,Mens LINEN Look S/S Shirt - 3 Colors,9.5,,_601202212101,HOMBRES,CAMISAS,48,0,432,120,312,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1013775,Mens Linen Cotton Shirt S/S - 3 Colors,9.5,,_601202212514,HOMBRES,CAMISAS,48,0,432,156,276,MODA,ZOLO JEANS,CAMISA 3 COLORES SURTIDOS S/M/L/XL,,0,REGULAR
1023550,MENS PREMIUM BASIC T - BLACK 0,5,BASICO,_601202139569,HOMBRES,T-SHIRT,48,14,1056,12,1058,BASICO,ZOLO JEANS,Solid Color Pack 2/S 4/M 4/L 2/XL,MINIMO DE COMPRA 12 PZ,1,MANGA CORTA
1023551,MENS PREMIUM BASIC T - WHITE 1,5,BASICO,_601202139576,HOMBRES,T-SHIRT,48,43,720,0,763,BASICO,ZOLO JEANS,Solid Color Pack 2/S 4/M 4/L 2/XL,MINIMO DE COMPRA 12 PZ,1,MANGA CORTA
1023552,MENS PREMIUM BASIC T - LT GREY 37,5,BASICO,_601202139583,HOMBRES,T-SHIRT,48,42,192,0,234,BASICO,ZOLO JEANS,Solid Color Pack 2/S 4/M 4/L 2/XL,MINIMO DE COMPRA 12 PZ,1,MANGA CORTA
1023553,MENS PREMIUM BASIC T - DK GREY 94,5,BASICO,_601202139590,HOMBRES,T-SHIRT,48,53,0,12,41,BASICO,ZOLO JEANS,Solid Color Pack 2/S 4/M 4/L 2/XL,MINIMO DE COMPRA 12 PZ,1,MANGA CORTA
1023554,MENS PREMIUM BASIC T - NVY 127,5,BASICO,_601202139606,HOMBRES,T-SHIRT,48,13,240,12,241,BASICO,ZOLO JEANS,Solid Color Pack 2/S 4/M 4/L 2/XL,MINIMO DE COMPRA 12 PZ,1,MANGA CORTA
